"","fileName","answer","guess1","guess2","guess3","guess4","guess5","confidence1","confidence2","confidence3","confidence4","confidence5"
"1925","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1925.jpg'",0,"22",11,21,1," 25","0.2625",0.2177,0.1818,0.1424," 0.0717"
"1926","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1926.jpg'",0,"22",21,1,11," 25","0.3111",0.2475,0.1212,0.1184," 0.0791"
"1927","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1927.jpg'",0,"11",21,22,25," 27","0.2487",0.2356,0.2348,0.125," 0.0619"
"1928","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1928.jpg'",0,"22",25,11,21," 1","0.3642",0.17,0.1518,0.1276," 0.0892"
"1929","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1929.jpg'",0,"21",22,25,11," 27","0.2502",0.2337,0.2302,0.1301," 0.0474"
"1930","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1934.jpg'",0,"21",22,25,11," 27","0.3065",0.2184,0.1823,0.1624," 0.0506"
"1931","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1935.jpg'",0,"21",22,11,1," 25","0.3826",0.1665,0.1588,0.1224," 0.0834"
"1932","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1933.jpg'",0,"21",22,11,25," 27","0.3760",0.2161,0.1864,0.0772," 0.0670"
"1933","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1931.jpg'",0,"21",22,25,11," 27","0.3483",0.2285,0.1621,0.1036," 0.0886"
"1934","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1930.jpg'",0,"22",25,21,27," 11","0.2704",0.2138,0.1678,0.1179," 0.1155"
"1935","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1932.jpg'",0,"21",22,25,11," 27","0.2776",0.1867,0.1805,0.1526," 0.0934"
"1936","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1938.jpg'",0,"21",11,27,22," 25","0.4045",0.208,0.1222,0.1095," 0.1092"
"1937","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1940.jpg'",0,"11",25,22,1," 21","0.3676",0.2149,0.1418,0.0841," 0.0812"
"1938","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1936.jpg'",0,"21",11,22,25," 27","0.2335",0.2146,0.1988,0.1874," 0.0676"
"1939","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1942.jpg'",0,"21",11,1,22," 25","0.2748",0.2274,0.2029,0.1172," 0.1097"
"1940","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1937.jpg'",0,"11",25,21,22," 1","0.6296",0.1133,0.0913,0.0669," 0.0542"
"1941","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1939.jpg'",0,"22",11,25,21," 27","0.3629",0.2242,0.166,0.11," 0.0482"
"1942","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1944.jpg'",0,"21",22,1,11," 25","0.3343",0.2095,0.1398,0.1285," 0.0787"
"1943","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1948.jpg'",0,"21",11,22,25," 1","0.3208",0.2924,0.1309,0.078," 0.0690"
"1944","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1941.jpg'",0,"22",25,21,11," 1","0.3894",0.2057,0.1562,0.0785," 0.0650"
"1945","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1946.jpg'",0,"11",21,25,22," 1","0.3208",0.2534,0.158,0.1279," 0.0716"
"1946","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1947.jpg'",0,"21",11,22,1," 25","0.2863",0.2723,0.1356,0.1074," 0.0810"
"1947","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1945.jpg'",0,"1",11,21,22," 25","0.3332",0.2053,0.1986,0.1157," 0.0869"
"1948","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1943.jpg'",0,"11",21,22,25," 1","0.2625",0.2551,0.2125,0.1353," 0.0496"
"1949","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1952.jpg'",0,"21",11,25,22," 1","0.3554",0.2216,0.163,0.1228," 0.0586"
"1950","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1949.jpg'",0,"22",21,11,25," 27","0.2731",0.2669,0.206,0.0918," 0.0417"
"1951","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1951.jpg'",0,"21",22,1,25," 11","0.3368",0.2038,0.1181,0.1145," 0.0958"
"1952","b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images\\CPR252015-04_1954.jpg'",0,"21",11,22,27," 1","0.4266",0.2122,0.1592,0.0852," 0.0608"
