,fileName,answer,guess1,guess2,guess3,guess4,guess5,confidence1,confidence2,confidence3,confidence4,confidence5
105,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0106.jpg',0,1,4,17,27,21,0.741,0.1981,0.0558,0.0023,0.0008
107,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0107.jpg',0,1,27,11,4,18,0.9972,0.0022,5.00E-04,0,0
108,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0108.jpg',0,1,4,27,6,24,0.9748,0.0148,0.0058,0.0011,0.0007
106,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0109.jpg',0,27,17,4,11,22,0.7183,0.1608,0.0881,0.0194,0.0058
110,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0110.jpg',0,4,11,27,1,17,0.9415,0.0488,0.0043,0.0012,0.001
111,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0111.jpg',0,11,4,27,0,5,0.5928,0.3583,0.0122,0.0076,0.0067
112,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0112.jpg',0,11,27,4,1,24,0.3544,0.3494,0.2631,0.0145,0.0092
113,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0113.jpg',0,11,4,27,1,24,0.5383,0.2584,0.1699,0.0176,0.0055
114,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0114.jpg',0,11,4,27,24,1,0.4835,0.3375,0.1637,0.0067,0.0034
115,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0115.jpg',0,4,27,17,3,22,0.606,0.1124,0.0775,0.0582,0.057
116,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0116.jpg',0,27,3,12,5,22,0.9834,0.0078,0.0059,8.00E-04,0.0007
117,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0117.jpg',0,27,22,3,12,9,0.9953,0.0039,3.00E-04,3.00E-04,0.0001
118,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0118.jpg',0,4,11,27,12,3,0.9939,0.005,4.00E-04,2.00E-04,0.0002
119,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0119.jpg',0,27,4,12,22,3,0.8026,0.0786,0.0379,0.0349,0.0274
121,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0120.jpg',0,27,22,3,12,9,0.9953,0.0034,6.00E-04,4.00E-04,0.0001
120,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0121.jpg',0,4,11,26,1,27,0.5515,0.3399,0.0286,0.0166,0.013
122,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0122.jpg',0,4,11,26,12,3,0.9813,0.0132,0.0016,6.00E-04,0.0005
124,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0123.jpg',0,4,27,11,18,12,0.929,0.0329,0.0144,0.0097,0.0075
123,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0124.jpg',0,1,27,18,4,24,0.9888,0.002,0.0018,0.0017,0.0017
125,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0125.jpg',0,18,27,11,25,1,0.623,0.3267,0.0361,0.0076,0.004
126,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0126.jpg',0,18,27,11,1,17,0.5326,0.4281,0.0182,0.0104,0.0036
127,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0127.jpg',0,27,1,17,22,18,0.4334,0.3417,0.1916,0.0206,0.0067
130,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0128.jpg',0,1,17,27,18,22,0.534,0.2472,0.1352,0.0575,0.0109
129,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0129.jpg',0,22,4,11,1,3,0.2781,0.2233,0.2075,0.0911,0.0536
131,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0130.jpg',0,27,3,1,12,18,0.7951,0.0843,0.0771,0.0121,0.0116
128,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0131.jpg',0,4,27,22,1,18,0.9161,0.0597,0.0121,0.0051,0.0035
132,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0132.jpg',0,4,0,27,11,18,0.9846,0.0069,0.0025,0.0023,0.0019
137,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0133.jpg',0,4,5,12,11,19,0.3582,0.2475,0.1669,0.1469,0.0301
134,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0134.jpg',0,4,5,12,16,11,0.6528,0.1937,0.0808,0.0359,0.0179
140,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0135.jpg',0,5,4,12,11,16,0.3562,0.2568,0.2072,0.0594,0.0308
136,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0136.jpg',0,27,18,25,24,22,0.9699,0.0284,5.00E-04,4.00E-04,0.0002
135,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0137.jpg',0,27,18,11,1,4,0.9504,0.0255,0.0093,0.0048,0.0028
133,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0138.jpg',0,27,18,11,24,1,0.9767,0.0144,0.003,0.0023,0.0015
138,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0139.jpg',0,27,24,1,11,22,0.8998,0.0589,0.0268,0.0075,0.0021
147,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0140.jpg',0,27,24,1,11,22,0.9254,0.0418,0.0158,0.0087,0.0028
139,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0141.jpg',0,27,24,1,11,22,0.9236,0.0434,0.0189,0.0068,0.0025
141,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0142.jpg',0,27,22,24,21,11,0.8859,0.1012,0.0061,0.0017,0.0014
144,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0143.jpg',0,27,22,24,11,25,0.8093,0.1709,0.0076,0.0035,0.002
142,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0144.jpg',0,27,22,18,17,11,0.7361,0.1468,0.0631,0.0232,0.0128
146,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0145.jpg',0,27,11,18,25,6,0.9322,0.0659,6.00E-04,5.00E-04,0.0003
145,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0146.jpg',0,27,11,25,6,18,0.9588,0.0396,0.001,2.00E-04,0.0001
143,b'D:/Users/agre6595/Camera_trap_machine_learning/desert_eg/images/resized\\FRNR202015-04_0147.jpg',0,11,27,25,6,8,0.9386,0.0595,0.0014,2.00E-04,0.0001
